iter	RMSE
0	1374642.07
1	1354360.685
2	1335919.783
3	1315985.504
4	1301905.832
5	1281883.161
6	1262178.161
7	1243042.458
8	1223724.551
9	1206364.004
10	1191680.488
11	1176311.346
12	1159623.258
13	1143000.607
14	1128294.535
15	1113470.003
16	1101891.362
17	1089144.565
18	1075342.601
19	1064218.197
20	1051364.783
21	1037808.182
22	1025728.795
23	1014183.559
24	1001813.302
25	991223.9231
26	981144.0069
27	969738.7634
28	962315.578
29	953617.3997
30	945570.3142
31	936312.0103
32	927237.6417
33	918619.4447
34	909470.5257
35	901783.2025
36	893094.3846
37	883543.2689
38	874749.994
39	867665.0515
40	859197.8958
41	850051.724
42	842598.085
43	835234.698
44	829106.9813
45	821689.4448
46	815118.8055
47	808616.5772
48	801573.633
49	795032.8505
50	790212.3006
51	784051.2512
52	778269.3613
53	773403.4094
54	768236.1847
55	764618.8511
56	759393.1701
57	754542.4893
58	750214.6487
59	744610.1949
60	740048.9007
61	734145.7709
62	729719.4397
63	725928.5329
64	720011.7522
65	716128.8614
66	711987.1711
67	707430.3144
68	703217.6541
69	699078.6778
70	694940.8821
71	690488.9976
72	686683.7103
73	682849.4185
74	679324.9941
75	675822.8033
76	673472.8068
77	670576.4551
78	667164.9051
79	663614.5796
80	659877.3623
81	657007.5989
82	654387.9555
83	652102.7328
84	649818.3948
85	647686.0397
86	644541.5263
87	641759.3286
88	639817.7961
89	636751.8635
90	634265.8191
91	631227.5276
92	629900.0473
93	627288.455
94	624989.5163
95	622088.2564
96	618847.455
97	616797.2866
98	615088.2666
99	612125.5416
100	609687.0584
101	607486.933
102	605189.8279
103	603045.4393
104	601234.3634
105	598980.1361
106	596712.4285
107	594889.2805
108	593586.555
109	591863.8308
110	590299.7464
111	588609.0142
112	586864.7055
113	584212.7224
114	582499.2779
115	580109.8354
116	578157.3113
117	576309.4795
118	574211.1273
119	572257.864
120	570736.9784
121	568540.6007
122	567323.9941
123	566125.8826
124	564762.5954
125	562851.7561
126	561116.2136
127	559482.4362
128	557435.6612
129	555392.8274
130	553794.8824
131	552485.9715
132	550813.48
133	549229.5814
134	548326.9946
135	547446.4668
136	546128.9177
137	544847.868
138	543507.6204
139	542168.9364
140	540792.6337
141	539357.3246
142	537849.6137
143	535900.5864
144	534520.118
145	532908.6199
146	531075.7899
147	529475.395
148	528347.8959
149	527621.4836
150	525698.0969
151	524206.0764
152	522501.2203
153	521258.7959
154	519809.8666
155	519064.0399
156	518454.6069
157	516982.6132
158	515876.9956
159	514960.0232
160	513447.5859
161	512568.3036
162	511455.9073
163	510579.1614
164	509437.0577
165	508334.1395
166	506988.4333
167	506046.0388
168	505081.1056
169	504071.5449
170	502503.6063
171	502010.1253
172	500768.4065
173	499696.9062
174	498529.0595
175	497703.1272
176	496676.4378
177	496032.9907
178	495232.7673
179	494478.1207
180	493440.9634
181	492297.909
182	491702.3474
183	491169.0838
184	489661.2763
185	488522.9411
186	487364.6469
187	487054.0256
188	486344.3096
189	485339.9032
190	484600.1043
191	483388.6238
192	481937.2946
193	481315.0348
194	480108.857
195	478649.4722
196	477491.5327
197	475971.2389
198	474933.6091
199	472965.7477
200	472305.308
201	470804.4051
202	470053.5578
203	469093.4254
204	468688.1595
205	467764.1898
206	466075.6213
207	464806.6843
208	463356.8231
209	462898.1292
210	462138.4042
211	460724.865
212	459546.1076
213	458769.9394
214	457617.481
215	457122.8023
216	455926.7269
217	455493.2682
218	454893.0017
219	453512.3859
220	452284.6881
221	451449.7896
222	450367.1942
223	448871.164
224	448148.2057
225	447146.7082
226	446218.7372
227	445103.2893
228	443567.8578
229	442170.2912
230	441131.2669
231	440327.3905
232	439879.3053
233	439365.7103
234	438978.4234
235	438376.1515
236	437896.5179
237	437551.4865
238	436784.0416
239	435900.1011
240	435494.4317
241	434469.5437
242	433083.7521
243	432349.1673
244	432106.0782
245	430896.8875
246	429365.7221
247	428553.4799
248	428300.1953
249	428043.0372
250	427526.5838
251	426965.0674
252	426297.0439
253	425296.1534
254	424927.2297
255	424634.5955
256	424017.4599
257	423271.849
258	422351.6479
259	422088.9659
260	421462.2034
261	421142.5001
262	420325.3533
263	419974.8923
264	419521.6405
265	418693.9844
266	418477.8405
267	418278.7336
268	417675.7626
269	417174.1137
270	416870.8846
271	416612.723
272	416445.535
273	416173.1244
274	414897.4414
275	414250.9238
276	413660.8611
277	413291.2676
278	411965.3199
279	411627.5271
280	411366.7252
281	410460.637
282	410276.6421
283	409666.7704
284	409442.8724
285	409145.3116
286	408071.9101
287	407713.4787
288	406974.7241
289	406448.3234
290	406117.0337
291	405601.0995
292	405014.0407
293	404840.3923
294	404648.5115
295	404421.7765
296	403806.6788
297	402362.1557
298	402101.3285
299	401317.9401
300	401090.658
301	400547.7014
302	399163.3897
303	398842.3485
304	397316.3179
305	396392.6607
306	396176.3526
307	395223.5507
308	395054.0486
309	394122.6283
310	393950.97
311	393183.037
312	392362.055
313	391468.7955
314	390878.8804
315	389903.2057
316	389774.2283
317	389558.24
318	389271.24
319	388247.8391
320	387429.5546
321	387133.3432
322	386428.5432
323	386263.2449
324	385904.5326
325	385717.7294
326	385362.1179
327	384315.7173
328	383385.4326
329	382830.1789
330	382736.9058
331	382393.2303
332	382005.3459
333	381888.1569
334	380956.0899
335	380354.9619
336	379723.5124
337	379289.6277
338	378379.0156
339	377772.1949
340	377149.8917
341	376150.1254
342	375198.0935
343	374929.0299
344	373975.4913
345	373443.3216
346	372354.4026
347	372165.1401
348	371865.749
349	371161.7586
350	370843.0203
351	370626.9944
352	369948.1394
353	369041.5041
354	368318.2231
355	368031.3989
356	367380.2797
357	367117.2625
358	366860.3995
359	366234.5129
360	365832.0581
361	364849.569
362	364237.0248
363	363848.4671
364	363203.4593
365	362220.3266
366	362106.9166
367	361284.3079
368	360874.2131
369	360240.7591
370	359832.0718
371	359154.6807
372	358704.2119
373	358205.2264
374	357279.5746
375	356412.7569
376	356165.2493
377	355697.9948
378	355618.5691
379	355001.7003
380	354224.9922
381	353797.675
382	353487.8828
383	353292.132
384	352550.2524
385	351956.4062
386	351877.804
387	351037.3558
388	350500.2318
389	350191.4126
390	349390.1131
391	348813.4007
392	348236.1259
393	347978.2748
394	347516.1944
395	347034.2284
396	346567.789
397	345696.8588
398	344992.6745
399	344647.5889
400	344370.6966
401	343612.5825
402	342753.0479
403	342009.7315
404	341423.0989
405	340913.3587
406	340827.5164
407	340364.6583
408	339646.2894
409	339121.0644
410	338807.8248
411	338334.6973
412	337364.4558
413	337290.5139
414	336920.3222
415	336365.6149
416	335702.1262
417	335213.7964
418	334674.7636
419	334457.7608
420	333723.3474
421	333652.8119
422	333282.6499
423	332499.1923
424	331985.0387
425	331706.4349
426	331277.3901
427	330525.7521
428	330136.738
429	329431.8383
430	328658.1882
431	328032.4673
432	327543.8167
433	327441.3829
434	326980.2865
435	326868.3485
436	326718.738
437	326669.774
438	325627.8596
439	325325.2878
440	324473.7948
441	324408.9917
442	324159.2263
443	323385.9262
444	322517.9186
445	322284.236
446	321685.9439
447	321284.6286
448	321209.7045
449	321027.2148
450	320957.2964
451	320340.3722
452	319564.7212
453	319106.9762
454	318708.0533
455	318137.994
456	317800.4601
457	317645.1409
458	317507.8817
459	317207.5933
460	316259.5886
461	315792.0458
462	314888.9926
463	314744.4677
464	314025.753
465	313409.3912
466	312917.3957
467	312294.6576
468	311537.3173
469	311187.8464
470	310521.0386
471	309839.2945
472	309611.6492
473	308924.0744
474	308671.4475
475	308341.7706
476	308002.7545
477	307541.3063
478	306983.0422
479	306026.01
480	305242.8583
481	305125.0511
482	304487.9182
483	303668.4894
484	303083.378
485	302547.9179
486	301690.5592
487	301275.0114
488	300691.2439
489	300358.9163
490	299483.6397
491	298910.9757
492	298588.1705
493	298111.8381
494	297906.3167
495	297600.8199
496	297046.7246
497	296306.9847
498	295622.0797
499	295286.9473
