iter	Passed	Remaining
0	1	581
1	2	554
2	3	538
3	5	687
4	6	656
5	8	667
6	9	661
7	13	802
8	14	782
9	15	756
10	16	732
11	17	713
12	19	713
13	21	750
14	22	734
15	27	835
16	28	817
17	29	800
18	30	783
19	32	769
20	33	758
21	34	756
22	35	744
23	36	731
24	40	760
25	41	752
26	42	742
27	43	735
28	44	721
29	45	714
30	47	721
31	48	716
32	50	711
33	51	701
34	55	730
35	56	725
36	57	720
37	59	721
38	60	714
39	61	709
40	62	704
41	63	697
42	64	689
43	67	694
44	68	694
45	69	690
46	70	682
47	72	681
48	73	677
49	75	683
50	76	676
51	77	671
52	79	671
53	83	691
54	87	707
55	87	697
56	88	691
57	90	685
58	90	679
59	91	673
60	92	665
61	93	660
62	97	674
63	98	674
64	99	668
65	100	662
66	101	657
67	102	652
68	103	647
69	104	642
70	105	637
71	106	632
72	107	626
73	108	622
74	109	620
75	112	625
76	112	620
77	113	616
78	114	611
79	115	607
80	116	603
81	117	599
82	118	594
83	119	591
84	120	587
85	121	582
86	122	579
87	122	575
88	126	582
89	127	578
90	127	575
91	128	571
92	129	567
93	130	563
94	131	560
95	132	556
96	133	553
97	134	549
98	134	546
99	135	543
100	136	540
101	137	536
102	140	539
103	140	536
104	141	533
105	142	530
106	143	527
107	144	524
108	145	521
109	146	518
110	147	516
111	148	513
112	149	510
113	150	507
114	150	505
115	151	502
116	152	500
117	156	505
118	157	502
119	157	500
120	158	497
121	159	494
122	160	492
123	161	489
124	162	487
125	163	484
126	164	482
127	165	479
128	166	477
129	166	475
130	167	472
131	169	473
132	170	471
133	171	468
134	172	466
135	173	463
136	174	461
137	174	458
138	175	456
139	176	454
140	177	452
141	178	450
142	179	447
143	180	445
144	181	443
145	182	441
146	184	442
147	185	440
148	186	438
149	187	436
150	188	434
151	188	432
152	189	430
153	190	428
154	191	426
155	192	424
156	193	422
157	194	420
158	195	418
159	196	416
160	197	415
161	199	415
162	200	414
163	201	412
164	202	410
165	202	408
166	203	406
167	204	404
168	205	402
169	206	400
170	207	399
171	208	397
172	209	395
173	210	393
174	211	392
175	212	390
176	214	390
177	214	388
178	215	387
179	216	385
180	217	383
181	218	381
182	219	380
183	220	378
184	221	377
185	222	375
186	223	373
187	223	371
188	224	369
189	225	368
190	226	366
191	228	366
192	229	365
193	230	363
194	231	361
195	232	360
196	233	358
197	234	356
198	235	355
199	235	353
200	236	352
201	237	350
202	238	349
203	239	347
204	240	346
205	242	346
206	244	345
207	245	344
208	247	344
209	248	342
210	248	340
211	249	339
212	250	338
213	251	336
214	253	335
215	254	334
216	255	332
217	258	335
218	259	333
219	260	332
220	261	330
221	262	329
222	263	327
223	264	326
224	265	324
225	266	323
226	267	321
227	268	320
228	269	318
229	270	317
230	272	317
231	273	315
232	274	314
233	275	312
234	276	311
235	277	309
236	277	308
237	278	306
238	279	305
239	280	303
240	281	302
241	282	301
242	283	299
243	284	298
244	285	296
245	287	296
246	288	295
247	289	294
248	290	292
249	291	291
250	292	289
251	293	288
252	293	286
253	294	285
254	295	284
255	296	282
256	297	281
257	298	280
258	299	278
259	301	278
260	302	276
261	303	275
262	304	274
263	305	272
264	305	271
265	306	269
266	307	268
267	308	267
268	309	265
269	310	264
270	311	263
271	312	261
272	313	260
273	314	259
274	316	258
275	317	257
276	318	256
277	319	254
278	319	253
279	320	252
280	321	250
281	322	249
282	323	248
283	324	246
284	325	245
285	326	244
286	327	242
287	329	242
288	331	241
289	332	240
290	332	239
291	333	237
292	334	236
293	335	235
294	336	233
295	337	232
296	338	231
297	339	229
298	340	228
299	341	227
300	341	226
301	342	224
302	343	223
303	345	222
304	346	221
305	347	220
306	348	219
307	349	217
308	350	216
309	351	215
310	352	214
311	353	212
312	353	211
313	354	210
314	355	208
315	356	207
316	357	206
317	358	205
318	360	204
319	361	203
320	362	202
321	363	200
322	364	199
323	365	198
324	365	197
325	366	195
326	367	194
327	368	193
328	369	192
329	370	190
330	371	189
331	372	188
332	373	187
333	375	186
334	376	185
335	377	184
336	378	182
337	379	181
338	379	180
339	380	179
340	381	178
341	382	176
342	383	175
343	384	174
344	385	173
345	386	172
346	387	170
347	389	170
348	390	168
349	391	167
350	392	166
351	393	165
352	394	164
353	394	162
354	395	161
355	396	160
356	397	159
357	398	158
358	399	156
359	400	155
360	401	154
361	401	153
362	403	152
363	404	151
364	405	149
365	406	148
366	407	147
367	408	146
368	409	145
369	410	144
370	410	142
371	411	141
