id,num_rooms,flat,district,house,floor_num,floors_num,square_total,square_living,square_kitchen,price
16098543,3,улучшенная,орджоникидзевский,"Труда, 11а",3,9,65.0,43.0,8.0,4200000
16097756,1,нестандартная,ленинский,"Советская, 22",10,10,40.7,19.4,10.0,3510000
16091708,3,полусмежная,орджоникидзевский,"Тевосяна, 11/3",4,9,58.3,39.0,9.0,4600000
16091706,3,брежневка,правобережный,"Советской Армии, 37",2,5,59.6,41.0,6.2,3500000
16024032,1,хабаровский вариант,орджоникидзевский,"50-летия Магнитки, 70",1,5,35.0,17.0,9.0,2890000
15898685,3,старой планировки,ленинский,"Куйбышева, 26",3,5,66.7,43.0,9.0,5300000
16090735,3,,,"Карла Маркса, 139",1,9,66.0,45.0,9.0,4500000
16090734,1,,,"Первостроителей, 21",3,3,27.5,13.0,6.0,2200000
16090098,1,,правобережный,"Западное шоссе, 101",1,2,40.0,23.0,8.0,4330000
16090095,1,,орджоникидзевский,"Карла Маркса, 237/3",4,10,32.0,17.0,8.0,2366000
15798686,3,улучшенная,правобережный,"Карла Маркса, 141/3",1,9,64.6,45.0,9.0,4450000
15993648,2,нестандартная,орджоникидзевский,"Сиреневый проезд, 12/1",7,9,56.1,35.0,9.0,4590000
15988074,3,улучшенная,орджоникидзевский,"Труда, 21",9,9,65.0,45.0,9.0,4250000
15798685,2,улучшенная,орджоникидзевский,"Ворошилова, 21",9,9,50.0,30.0,9.0,3490000
16063037,2,хабаровский вариант,орджоникидзевский,"Труда, 31/3",4,5,54.1,32.0,9.0,4190000
16086365,3,,ленинский,"Уральская, 9",7,9,61.0,42.0,9.0,4500000
14990449,3,старой планировки,ленинский,"Ленина пр-т, 23",3,3,65.9,48.0,7.5,3900000
15983108,2,брежневка,правобережный,"Советская, 137",1,5,44.0,28.0,6.0,3250000
16086364,2,евродвушка,ленинский,"Карла Маркса, 78",3,5,42.8,26.0,6.0,3450000
16022292,1,нестандартная,орджоникидзевский,"Карла Маркса, 224",5,16,41.1,20.0,12.0,3450000
15629988,3,нестандартная,орджоникидзевский,"Ленина пр-т, 129",5,16,105.0,75.0,14.0,7700000
15418985,2,старой планировки,ленинский,"Московская, 37",1,3,48.0,33.0,8.0,2900000
15943116,3,свердловский вариант,орджоникидзевский,"Ворошилова, 13/1",4,13,65.0,43.0,10.0,4450000
14222004,3,старой планировки,ленинский,"Менделеева, 6",3,4,83.0,55.0,9.0,5600000
16082282,3,старой планировки,орджоникидзевский (левый берег),"Пионерская, 25",3,4,72.0,45.0,6.0,2000000
16082280,2,раздельная,орджоникидзевский (левый берег),"Трамвайная, 25",1,3,43.0,31.0,6.0,2350000
16081744,3,,,"ул Тимирязева, 47",2,2,75.0,55.0,14.0,6300000
16081740,2,,,"ул. Пушкина, 24",2,3,46.0,29.0,7.5,1800000
16080905,2,,ленинский,"ул. Казакова, 3",2,5,55.8,32.0,10.0,3790000
16080904,3,,ленинский,"Первомайская, 17",4,4,75.8,54.0,10.0,5490000
16071761,4,,орджоникидзевский,"Галиуллина, 47/2",1,5,63.0,45.0,8.0,4450000
15949864,2,нестандартная,орджоникидзевский,"Ленина пр-т, 133/1",3,10,57.0,35.0,10.0,5000000
15457968,3,раздельная,орджоникидзевский (левый берег),"Пушкина, 36",4,4,65.0,45.0,6.0,2300000
16071756,2,нестандартная,орджоникидзевский,"Жукова, 14/2",6,9,58.0,35.0,10.0,4800000
14849903,3,нестандартная,правобережный,"Завенягина, 14/1",5,5,63.0,42.0,9.0,4300000
16071755,2,хрущевка,ленинский,"Стадион, аквапарк,Октябрьская, 28",5,5,44.7,30.0,5.6,2970000
16071185,3,,,"Горького, 24",3,4,70.0,48.0,14.0,6800000
16071184,3,,ленинский,"Октябрьская, 17",5,5,76.4,58.0,12.0,6400000
16070317,2,,правобережный,"Советской Армии, 29к3",10,15,40.0,20.0,16.0,3800000
16070315,3,,орджоникидзевский,"Советская, 209/1",9,14,91.2,0.0,11.5,6300000
16070314,1,,орджоникидзевский,"Карла Маркса, 237/3",4,10,32.0,0.0,8.0,2366000
16070296,3,,правобережный,"ул. имени газеты Правда, 57",2,5,56.4,43.0,6.0,4300000
16070293,2,,,"ул. Горнолыжная, 26",2,2,36.0,28.0,3.0,3700000
15447225,3,нестандартная,орджоникидзевский,"50-летия Магнитки, 51а",7,10,103.0,70.0,25.0,8000000
15927949,3,,орджоникидзевский,"Ленина пр-т, 129/2",6,9,105.0,78.0,14.0,8200000
15909830,4,,орджоникидзевский,"Труда, 18",9,9,79.0,52.7,8.2,5990000
16067187,3,хрущевка,правобережный,"Им. газеты ""Правда"", 57",2,5,56.4,43.0,6.0,4300000
15592135,3,,,"Карла Маркса, 99/2",1,5,61.0,43.0,7.0,4300000
15640459,2,,,"Уральская, 37",2,3,51.0,32.0,8.0,3300000
15982486,2,,,"Строителей, 20",2,3,52.0,32.0,9.0,3050000
15982492,3,,,"Советская, 168",5,9,66.0,46.0,8.5,3800000
15007338,1,,,"Ленина пр-т, 212а",1,1,35.6,27.0,6.0,1850000
15007337,-1,,,Ленина пр-т,1,1,200.0,100.0,25.0,4400000
16062618,1,,,"Карла Маркса, 102/1",2,5,31.0,18.0,6.0,2500000
16062617,2,,,"ул Ворошилова, 21",10,10,52.0,40.0,9.0,4300000
16062616,2,,,"Ленина пр-т, 214Б",1,1,60.0,40.0,20.0,4000000
16062615,1,,,"Ленина пр-т, 84/2",2,5,21.8,12.0,5.0,1700000
16061734,1,,орджоникидзевский,"Ворошилова, 30",1,9,33.0,18.0,9.0,2750000
16061733,2,,орджоникидзевский,"Зеленый Лог, 17",3,10,55.1,0.0,6.0,4490000
16053916,2,брежневка,орджоникидзевский,Доменщиков,5,5,46.0,31.0,6.0,3400000
16053914,2,брежневка,правобережный,"Карла Маркса, 111/1",2,5,47.2,31.0,6.0,3600000
16053903,4,трапеция,орджоникидзевский,"детская стоматология,Труда, 35",6,9,74.9,49.8,7.7,5200000
16053339,2,,,"Карла Маркса, 92/1",5,5,44.9,30.0,6.0,3350000
16053338,2,,,"ул Калмыкова, 8/1",3,9,52.0,0.0,9.1,3400000
16053337,1,,,"Ленина пр-т, 152",6,9,31.0,0.0,7.0,2400000
16053336,1,,,"ул Жукова, 17/1",5,9,33.0,0.0,8.0,2500000
16053335,1,,,"Сиреневый проезд, 26",3,9,34.0,0.0,8.0,2400000
16052625,2,,правобережный,"Советская, 84",4,4,43.9,0.0,5.5,3350000
16052482,1,,орджоникидзевский,"Карла Маркса, 231",3,10,33.0,21.0,6.0,2500000
16049023,2,нестандартная,ленинский,"Уральская, 36",1,4,65.3,38.0,18.0,5100000
16049022,3,нестандартная,правобережный,"Мичурина, 136/2",9,9,97.9,64.0,12.0,9055000
15581437,2,,орджоникидзевский,"Ленина пр-т, 129",2,16,72.0,33.0,14.0,6000000
15982493,2,,,"Советская, 168",4,9,49.5,32.0,8.5,3400000
15982494,2,,,"Суворова, 132/1",3,5,43.0,30.0,6.0,2900000
15762032,1,,,"Суворова, 133/1",2,5,33.0,18.0,6.0,2050000
15418605,1,,,"Грязнова, 17",3,5,32.0,19.0,6.0,2150000
15418606,1,,,"Московская, 12",2,5,32.0,18.0,6.0,2000000
16049010,2,смежная,правобережный,"Карла Маркса, 118",1,5,45.3,30.0,6.0,3150000
15406262,4,,орджоникидзевский,"Карла Маркса, 185",4,9,105.0,83.0,10.0,8000000
16044602,3,нестандартная,правобережный,"Западное шоссе, 103",2,3,75.0,45.0,8.0,6300000
16044059,1,,правобережный,"Грязнова, 42/2",7,17,35.8,19.0,9.0,2450000
16044057,2,,,"ул Дружбы, 40",1,5,46.0,35.0,6.0,2700000
16044054,2,,,"Карла Маркса, 14",2,5,45.0,30.0,6.0,2750000
16044053,1,,,"Бориса Ручьева, 8/1",1,5,33.0,20.0,6.0,2650
16043387,3,,орджоникидзевский,"Карла Маркса, 230/2",7,10,64.0,45.0,8.5,5600000
16039325,1,нестандартная,орджоникидзевский,"Тевосяна, 4",2,10,41.0,21.0,9.0,4300000
15009094,3,нестандартная,орджоникидзевский,"Зеленый Лог, 33",5,10,65.0,45.0,9.0,4200000
16034367,2,,ленинский,"ул Октябрьская, 17",2,5,59.1,32.4,9.0,4150000
16034366,3,,,"Школьная, 10",1,1,59.5,47.0,12.0,500000
16034365,1,,,"Дружбы, 42",1,5,32.0,17.0,6.0,2190000
16033520,1,,орджоникидзевский,"Зеленый Лог, 19",5,10,31.4,18.0,6.0,2600000
16024031,3,нестандартная,ленинский,"Казакова, 5",4,5,73.9,50.0,12.0,6050000
16023304,1,,,"Московская, 81",1,3,323.0,17.0,6.0,2450000
16023303,1,,правобережный,"Карла Маркса, 136",8,9,32.5,18.0,6.0,2700000
16022577,3,,ленинский,"Строителей, 57",6,6,72.8,44.0,8.0,5999999
16018297,1,,орджоникидзевский,"147,Карла Маркса, 231/2",10,10,30.0,17.0,6.0,2800000
16013982,3,нестандартная,ленинский (левый берег),"Маяковского, 64",4,5,64.7,38.0,7.0,3500000
16003839,2,,,"Мичурина, 99",3,5,45.0,30.0,6.0,2800000
16003838,2,,,"Ленина пр-т, 129/1",4,10,57.0,36.0,9.0,6200000
16003835,3,,,,2,9,66.0,48.0,9.0,4150000
16003833,1,,ленинский,"Московская, 17/1",2,2,28.0,16.0,8.0,1600000
16002958,1,,,"ул. Курортная, 81/1",1,2,45.0,37.0,4.0,3400000
15430300,1,брежневка,правобережный,"Грязнова, 30",5,5,30.0,18.0,6.0,1950000
15998486,2,старой планировки,ленинский,"Металлургов, 12",1,5,54.0,33.0,7.0,2900000
15993647,1,нестандартная,орджоникидзевский,"Карла Маркса, 230/1",7,10,33.0,17.0,9.0,2550000
15993644,2,старой планировки,ленинский,"Металлургов, 18/1",3,4,51.7,30.0,8.0,4890000
15992944,2,,,"Советская, 168",1,9,58.6,31.0,12.0,4990000
15992940,-1,,,"Карла Маркса, 119/1",2,5,41.0,0.0,6.0,3600000
15992939,1,,орджоникидзевский,"Тевосяна, 27",2,9,34.0,18.0,9.0,2850000
15992938,1,,,"ул Вознесенская, 7",8,10,32.2,20.0,9.0,2700000
15992937,-1,,,"Карла Маркса, 117",2,5,41.0,26.0,6.0,3400000
15992936,1,,,"Карла Маркса, 223",12,14,35.0,17.0,8.0,2300000
15992934,3,,,"Сиреневый проезд, 12",2,9,65.0,0.0,9.0,4150000
15992933,-1,,,"ул Жукова, 17/1",4,9,40.1,18.0,9.0,3100000
15992932,1,,,"ул Московская, 26к3",1,4,32.4,19.0,6.0,2100000
15992057,1,,,33 ул. Торфяная,2,4,47.6,18.0,3.0,3332000
15063675,-1,стандартная,орджоникидзевский (левый берег),"Пионерская, 4",3,4,91.0,70.0,10.0,3500000
14115214,4,,,"ул. Торфяная, 5/2",2,2,129.1,85.0,20.0,6990000
15476629,2,,правобережный,"Индустриальная, 20",5,5,42.0,30.0,6.0,2850000
15407313,2,ленинградский проект,ленинский,"Строителей, 52",2,3,54.0,37.0,7.0,3200000
14274616,1,,ленинский,"Ленина пр-т, 192а",1,1,18.0,18.0,18.0,1100000
14274617,1,,ленинский,"Ленина пр-т, 129а",1,1,35.7,25.0,10.0,2000000
14274618,3,,орджоникидзевский,"Пушкина, 34",2,5,67.0,45.0,8.0,3000000
14274619,-1,,,"Ленина пр-т, 129А",1,1,220.0,150.0,20.0,5000000
14915885,3,,,,5,5,61.5,0.0,0.0,3700000
14297199,1,,правобережный,"Суворова, 128",5,9,34.0,20.0,7.0,2350000
14297198,2,,орджоникидзевский,"Бориса Ручьева, 8/1",2,5,41.0,30.0,6.0,2900000
14274722,2,,орджоникидзевский,"ул.Кронштадтская, 11",1,1,35.0,25.0,10.0,3990000
15987720,2,хрущевка,правобережный,"Советская, 127/1",4,5,45.0,27.0,6.0,3300000
15106698,1,,,"Ленина пр-т, 214Б",1,1,35.0,18.0,6.0,1850000
15106697,3,,,"Карла Маркса, 233",6,10,67.0,39.5,8.1,4830000
15349440,3,раздельная,орджоникидзевский,"Карла Маркса, 233",9,10,67.0,42.0,9.0,4600000
15982491,1,,,,7,9,32.0,18.0,8.0,3240000
15982487,3,,,"ул Октябрьская, 32/1",5,5,51.0,0.0,6.0,3350000
15927070,2,,,"Суворова, 136/1",2,5,44.3,30.0,6.0,2980000
15751213,1,,,"Ленина пр-т, 114/4",5,14,40.0,17.0,13.0,2650000
