iter	Passed	Remaining
0	1	868
1	3	783
2	4	698
3	5	654
4	6	622
5	7	595
6	8	577
7	10	672
8	12	663
9	16	832
10	18	807
11	19	782
12	20	778
13	22	768
14	23	749
15	24	729
16	25	713
17	26	697
18	27	689
19	31	758
20	32	743
21	34	744
22	35	732
23	36	718
24	37	706
25	38	695
26	39	690
27	40	680
28	41	666
29	45	707
30	46	704
31	47	695
32	48	685
33	49	677
34	50	669
35	51	662
36	52	655
37	53	650
38	54	646
39	55	640
40	59	668
41	61	665
42	62	666
43	63	660
44	65	659
45	66	655
46	67	648
47	68	644
48	70	653
49	74	674
50	75	668
51	77	671
52	79	669
53	81	675
54	82	671
55	83	662
56	84	657
57	88	677
58	92	692
59	98	718
60	98	711
61	100	706
62	106	740
63	110	753
64	111	749
65	113	743
66	113	736
67	114	730
68	115	724
69	120	737
70	121	731
71	122	726
72	123	723
73	124	717
74	125	711
75	126	705
76	127	700
77	128	695
78	130	698
79	132	693
80	133	689
81	134	685
82	135	680
83	136	678
84	138	678
85	139	673
86	143	678
87	146	683
88	147	679
89	147	674
90	148	669
91	150	668
92	151	664
93	152	660
94	154	656
95	154	652
96	158	660
97	161	661
98	163	660
99	164	656
100	165	652
101	166	649
102	167	644
103	168	640
104	169	638
105	173	645
106	174	641
107	175	637
108	176	633
109	177	630
110	178	626
111	179	623
112	180	619
113	182	619
114	185	622
115	188	622
116	191	626
117	192	622
118	194	622
119	198	628
120	199	625
121	200	621
122	201	618
123	203	615
124	204	612
125	205	608
126	206	605
127	207	601
128	208	599
129	211	601
130	212	599
131	213	596
132	214	592
133	215	589
134	216	585
135	217	582
136	219	580
137	222	582
138	223	580
139	226	582
140	228	582
141	230	581
142	231	578
143	232	574
144	233	571
145	234	568
146	235	565
147	236	563
148	245	577
149	246	574
150	247	570
151	248	568
152	249	564
153	250	561
154	251	558
155	252	555
156	256	560
157	261	566
158	262	563
159	263	560
160	267	563
161	272	568
162	275	569
163	276	566
164	277	564
165	279	561
166	280	558
167	281	555
168	285	559
169	287	558
170	289	556
171	290	553
172	290	549
173	291	546
174	292	543
175	293	541
176	295	538
177	296	535
178	301	540
179	302	537
180	303	534
181	304	532
182	305	529
183	306	526
184	307	523
185	308	521
186	316	529
187	317	526
188	319	525
189	320	522
190	321	520
191	322	517
192	323	514
193	325	512
194	326	510
195	331	514
196	332	511
197	333	508
198	334	506
199	335	503
200	336	500
201	337	497
202	338	495
203	339	492
204	340	490
205	341	487
206	346	490
207	347	488
208	348	485
209	349	483
210	350	480
211	351	477
212	352	475
213	353	472
214	354	469
215	355	467
216	356	464
217	359	464
218	359	461
219	360	459
220	361	456
221	362	454
222	363	451
223	364	449
224	365	446
225	366	444
226	367	441
227	368	439
228	369	437
229	373	438
230	374	436
231	376	434
232	376	431
233	377	429
234	378	427
235	379	424
236	380	422
237	381	419
238	382	417
239	383	415
240	386	415
241	387	413
242	388	411
243	389	408
244	390	406
245	391	404
246	392	402
247	393	399
248	394	397
249	395	395
250	396	392
251	397	390
252	397	388
253	398	386
254	401	385
255	402	383
256	404	381
257	407	382
258	409	381
259	411	379
260	412	377
261	416	378
262	417	375
263	418	373
264	419	371
265	419	369
266	420	367
267	421	365
268	422	362
269	423	360
270	424	358
271	425	356
272	426	354
273	427	352
274	430	352
275	431	350
276	432	348
277	433	346
278	434	344
279	435	342
280	436	340
281	437	338
282	438	336
283	439	334
284	440	331
285	440	329
286	441	327
287	442	325
288	446	325
289	447	323
290	448	321
291	449	320
292	450	318
293	451	316
294	451	314
295	452	312
296	453	310
297	454	308
298	455	306
299	456	304
300	457	302
301	459	301
302	460	299
303	461	297
304	462	295
305	463	293
306	464	291
307	465	289
308	465	287
309	466	286
310	467	284
311	468	282
312	469	280
313	470	278
314	471	276
315	472	274
316	474	274
317	475	272
318	477	270
319	478	269
320	479	267
321	480	265
322	481	263
323	482	262
324	483	260
325	483	258
326	484	256
327	485	254
328	486	252
329	488	251
330	489	250
331	490	248
332	491	246
333	492	244
334	493	243
335	494	241
336	495	239
337	496	238
338	497	236
339	498	234
340	499	232
341	500	231
342	501	229
343	503	228
344	504	226
345	505	224
346	506	223
347	509	222
348	510	220
349	511	219
350	513	217
351	514	216
352	516	215
353	518	213
354	519	212
355	520	210
356	521	208
357	521	207
358	523	205
359	524	203
360	525	202
361	526	200
362	527	198
363	528	197
364	528	195
365	531	194
366	532	193
367	533	191
368	534	189
369	535	188
370	536	186
371	537	185
372	539	183
373	540	181
374	541	180
375	542	179
376	546	178
377	547	176
378	548	175
379	549	173
380	550	171
381	551	170
382	552	168
383	553	167
384	556	166
385	557	164
386	558	162
387	564	162
388	565	161
389	566	159
390	567	158
391	568	156
392	570	155
393	571	153
394	572	152
395	578	151
396	579	150
397	580	148
398	582	147
399	583	145
400	584	144
401	585	142
402	586	141
403	587	139
404	591	138
405	594	137
406	595	136
407	596	134
408	598	133
409	599	131
410	600	129
411	601	128
412	603	127
413	609	126
414	610	125
415	611	123
416	612	121
417	613	120
418	614	118
419	615	117
420	616	115
421	617	114
422	619	112
423	621	111
424	621	109
425	622	108
426	623	106
427	624	105
428	625	103
429	626	102
430	627	100
431	628	98
432	629	97
433	632	96
434	634	94
435	635	93
436	636	91
437	637	90
438	638	88
439	639	87
440	640	85
441	640	84
442	641	82
443	642	81
444	643	79
445	647	78
446	648	76
447	649	75
448	650	73
449	651	72
450	652	70
451	653	69
452	654	67
453	655	66
454	656	64
455	657	63
456	657	61
457	661	60
458	662	59
459	663	57
460	664	56
461	665	54
462	666	53
463	667	51
464	668	50
465	669	48
466	670	47
467	671	45
468	672	44
469	673	42
470	677	41
471	678	40
472	679	38
473	680	37
474	681	35
475	682	34
476	682	32
477	683	31
478	684	30
479	685	28
480	686	27
481	687	25
482	690	24
483	692	22
484	693	21
485	694	20
486	695	18
487	696	17
488	697	15
489	698	14
490	700	12
491	701	11
492	702	9
493	705	8
494	706	7
495	707	5
496	708	4
497	709	2
498	710	1
499	711	0
